"INCIDENT_KEY","OCCUR_DATE","OCCUR_TIME","BORO","LOC_OF_OCCUR_DESC","PRECINCT","JURISDICTION_CODE","LOC_CLASSFCTN_DESC","LOCATION_DESC","STATISTICAL_MURDER_FLAG","PERP_AGE_GROUP","PERP_SEX","PERP_RACE","VIC_AGE_GROUP","VIC_SEX","VIC_RACE","X_COORD_CD","Y_COORD_CD","Latitude","Longitude","New Georeferenced Column"
"305364225","04/25/2025","18:23:00","BROOKLYN","OUTSIDE","67","0","STREET","(null)","N","<18","M","BLACK","25-44","F","BLACK","1,003,705","176,765","40.651845","-73.929888","POINT (-73.929888 40.651845)"
"300566188","02/04/2025","12:20:00","MANHATTAN","OUTSIDE","10","2","HOUSING","MULTI DWELL - PUBLIC HOUS","N","(null)","(null)","(null)","25-44","M","BLACK","982,756","210,139","40.74347","-74.005392","POINT (-74.005392 40.74347)"
"306651416","05/18/2025","18:45:00","BRONX","OUTSIDE","46","0","STREET","(null)","N","(null)","(null)","(null)","25-44","F","WHITE HISPANIC","1,013,673","252,644","40.860085","-73.89363","POINT (-73.89363 40.860085)"
"308455131","06/21/2025","09:30:00","BRONX","OUTSIDE","42","0","STREET","MULTI DWELL - APT BUILD","Y","(null)","(null)","(null)","25-44","M","BLACK","1,016,398","243,887","40.83604","-73.883824","POINT (-73.883824 40.83604)"
"303829751","03/29/2025","07:13:00","BROOKLYN","OUTSIDE","75","0","STREET","(null)","N","25-44","M","BLACK","25-44","M","BLACK","1,012,956","183,568","40.67048191","-73.89651898","POINT (-73.89651898 40.67048191)"
"303036414","03/17/2025","20:35:00","BRONX","OUTSIDE","46","0","STREET","(null)","N","(null)","(null)","(null)","18-24","M","WHITE HISPANIC","1,008,291","247,744","40.846651","-73.913105","POINT (-73.913105 40.846651)"
"300318397","01/30/2025","14:29:00","BRONX","OUTSIDE","48","0","STREET","(null)","N","18-24","M","BLACK HISPANIC","18-24","M","BLACK HISPANIC","1,016,057","247,615","40.846273","-73.885036","POINT (-73.885036 40.846273)"
"306613733","05/18/2025","03:54:00","QUEENS","OUTSIDE","110","0","STREET","(null)","N","18-24","M","BLACK","18-24","M","BLACK","1,016,250","208,615","40.739229","-73.884526","POINT (-73.884526 40.739229)"
"302197815","03/06/2025","16:50:00","BROOKLYN","OUTSIDE","63","0","STREET","GAS STATION","N","45-64","M","BLACK","25-44","M","BLACK","1,006,460","169,245","40.631196","-73.919982","POINT (-73.919982 40.631196)"
"299453927","01/14/2025","21:20:00","BROOKLYN","OUTSIDE","73","0","COMMERCIAL","GROCERY/BODEGA","N","25-44","M","BLACK","25-44","M","BLACK","1,009,652","183,399","40.670038","-73.908428","POINT (-73.908428 40.670038)"
"300354793","01/31/2025","16:31:00","BRONX","OUTSIDE","44","0","OTHER","GROCERY/BODEGA","N","25-44","M","BLACK","45-64","M","BLACK","1,005,142","246,042","40.841989","-73.924494","POINT (-73.924494 40.841989)"
"306572212","05/16/2025","23:55:00","BROOKLYN","OUTSIDE","67","0","DWELLING","MULTI DWELL - APT BUILD","N","(null)","(null)","(null)","25-44","M","BLACK","1,004,240","175,139","40.647379","-73.927963","POINT (-73.927963 40.647379)"
"307442122","06/02/2025","22:25:00","BRONX","OUTSIDE","47","0","DWELLING","MULTI DWELL - APT BUILD","N","25-44","M","BLACK","25-44","M","BLACK","1,022,068","259,202","40.878053","-73.863245","POINT (-73.863245 40.878053)"
"300882495","02/10/2025","11:56:00","BROOKLYN","INSIDE","73","0","COMMERCIAL","GROCERY/BODEGA","N","<18","M","BLACK","45-64","M","BLACK","1,007,627","183,444","40.670167","-73.915729","POINT (-73.915729 40.670167)"
"305412877","04/27/2025","07:11:00","QUEENS","OUTSIDE","109","0","STREET","(null)","N","25-44","M","WHITE HISPANIC","25-44","M","BLACK","1,036,473","217,965","40.764795","-73.811476","POINT (-73.811476 40.764795)"
"305570692","04/29/2025","21:50:00","BRONX","OUTSIDE","47","0","STREET","(null)","N","(null)","(null)","(null)","<18","M","BLACK","1,023,736","262,685","40.88759525","-73.85719372","POINT (-73.85719372 40.88759525)"
"308824439","06/29/2025","13:17:00","STATEN ISLAND","OUTSIDE","122","0","HOUSING","MULTI DWELL - PUBLIC HOUS","N","(null)","(null)","(null)","18-24","M","BLACK","950,998","161,170","40.608997","-74.119758","POINT (-74.119758 40.608997)"
"305062372","04/20/2025","18:48:00","BRONX","OUTSIDE","46","0","STREET","(null)","N","18-24","M","BLACK","18-24","M","BLACK","1,008,383","250,881","40.85525224","-73.91276232","POINT (-73.91276232 40.85525224)"
"304263629","04/05/2025","17:45:00","BRONX","OUTSIDE","46","0","STREET","(null)","N","18-24","M","WHITE HISPANIC","18-24","M","BLACK HISPANIC","1,009,234","247,586","40.846216","-73.909699","POINT (-73.909699 40.846216)"
"306394911","05/14/2025","05:56:00","BROOKLYN","OUTSIDE","76","0","STREET","(null)","N","25-44","M","BLACK","45-64","M","WHITE","984,217","184,686","40.673607","-74.00012","POINT (-74.00012 40.673607)"
"307442124","06/02/2025","21:55:00","BROOKLYN","INSIDE","83","0","DWELLING","MULTI DWELL - APT BUILD","N","(null)","(null)","(null)","25-44","M","BLACK","1,007,689","191,193","40.691437","-73.915478","POINT (-73.915478 40.691437)"
"305364225","04/25/2025","18:23:00","BROOKLYN","OUTSIDE","67","0","STREET","(null)","N","18-24","M","BLACK","25-44","F","BLACK","1,003,705","176,765","40.651845","-73.929888","POINT (-73.929888 40.651845)"
"308047666","06/13/2025","19:45:00","BRONX","OUTSIDE","47","0","STREET","(null)","N","25-44","M","BLACK","25-44","M","BLACK","1,030,896","263,028","40.888511","-73.831296","POINT (-73.831296 40.888511)"
"300131384","01/27/2025","12:20:00","BROOKLYN","OUTSIDE","67","0","DWELLING","MULTI DWELL - APT BUILD","N","(null)","(null)","(null)","65+","M","BLACK","996,949","176,623","40.651466","-73.954236","POINT (-73.954236 40.651466)"
